Page Header,Name,Match Number,Assignment,Robot?,Team (getting scouted),Page 2 Header,AMP Score (Auto),SPEAKER Score (Auto),Crossed Line?,Game Pieces Taken?,Page 3 Header,Used Coopertition Button,AMP Score (Teleop),SPEAKER Score (Teleop),Shuttled Notes,Intook From (Full Match),Page 4 Header,TRAP Score,Climb Type,Issues,Notes
,Dillon,73,Blue 2,2834,,,0,1,FALSE,,,TRUE,0,0,3,Source,,1,Solo Climb,,It is very bad at driving and scoring speaker.
,Luke,73,Red 1,509,,,0,1,FALSE,,,TRUE,1,1,0,Ground,,0,,Note Stuck In Robot,"Note got stuck, idk about defense cause bots were being weird"
,Jazlyn,73,Red 2,180,,,0,2,TRUE,,,TRUE,4,4,0,Ground,,0,Solo Climb,Tipped/Tippy,"switched between speaker and amp a lot, good robot and fast pretty good auto"
,Taj,74,Red 3,3546,,,0,1,TRUE,,,FALSE,5,2,0,Ground,,0,Solo Climb,,"Tried to score in trap, pretty consistent"
,jonathan,74,Blue 1,8592,,,0,2,TRUE,,,TRUE,2,1,4,Ground,,0,Solo Climb,,
,Dillon,74,Blue 2,456,,,0,2,TRUE,,,TRUE,1,0,6,Source,,0,,,It only shuttled the whole game. Shuttlaholic.
,Luke,74,Red 1,1218,,,0,1,TRUE,,,TRUE,0,2,6,Ground,,0,Solo Climb,Made Other Auto Fail,Shooter very inaccurate
,Jazlyn,74,Red 2,108,,,0,4,TRUE,"Center Spike , Left Spike , Center Line 3",,TRUE,2,4,0,Ground,,0,Solo Climb,,"shot notes too fast to where they’d fly out of the speaker, good auto though"
,Aiden,74,Blue 3,4481,,,0,0,TRUE,,,TRUE,5,5,0,Ground,,0,,,"Auto failed hard, none of the notes were in the spots they were going for. Robot itself was pretty slow"
,Taj,75,Red 3,8298,,,0,0,FALSE,,,TRUE,0,0,0,,,0,,Disabled,Robot did not move the entire time
,jonayhan,75,Blue 1,8159,,,0,0,FALSE,,,TRUE,0,4,6,Ground,,0,Solo Climb,,
,Aiden,75,Blue 3,6647,,,0,0,FALSE,,,TRUE,2,4,0,Ground,,0,Solo Climb,Note Stuck In Robot,
,Dillon,75,Blue 2,3641,,,0,1,TRUE,,,TRUE,3,6,2,"Ground , Source",,0,Solo Climb,,Luh scoring maniac. Missed some but was a quick scorer.
,Luke,75,Red 1,2370,,,0,3,TRUE,,,TRUE,0,5,8,Ground,,0,,Tipped/Tippy,"Fed mostly except for amplification, skinny and tall so tippy"
,Freya,76,Blue 2,1781,,,0,1,TRUE,,,FALSE,1,4,4,Ground,,0,Solo Climb,,Good
,Garys,76,Blue 3,4786,,,0,1,TRUE,Left Spike,,TRUE,1,5,4,Ground,,0,,,
,Jalen,76,Blue 2,1781,,,0,1,FALSE,,,TRUE,3,3,0,,,0,Solo Climb,,
,Freya,77,Blue 2,1671,,,0,1,TRUE,,,FALSE,5,2,0,Ground,,0,2 Robot Climb,,
,Jalen,77,Blue 2,1671,,,0,1,FALSE,,,TRUE,4,3,0,Source,,0,2 Robot Climb,,Auto fail after 3 secs
,Garys,77,Blue 3,9726,,,0,0,FALSE,,,TRUE,0,0,0,Source,,0,,Tipped/Tippy,Didnt shoot and was wobbly. Acted as defense and blocked red speaker majority of match. Failed climb if tried.
,Freya,78,Blue 2,3134,,,0,0,FALSE,,,FALSE,0,0,5,Ground,,0,,,
,Jalen,78,Blue 2,3134,,,0,1,FALSE,,,TRUE,0,1,0,Source,,1,,,
,Garys,78,Blue 3,8188,,,0,0,TRUE,,,TRUE,0,0,5,Ground,,0,Solo Climb,,Slow intake and has difficulty picking up note. Resorted to mostly launching notes across stage.
,Freya,79,Blue 2,9455,,,0,1,TRUE,,,FALSE,0,1,3,Source,,0,,,
,Jalen,79,Blue 2,9455,,,0,1,FALSE,,,FALSE,0,2,0,,,0,,,
,Noah Carrillo,79,Red 3,8013,,,0,2,TRUE,Right Spike,,TRUE,7,6,0,"Ground , Source",,1,Solo Climb,,"Best bot I’ve seen. Nothing bad about it. Fast, and accurate."
,Garys,79,Blue 3,3128,,,0,1,TRUE,,,FALSE,0,1,0,Ground,,0,Solo Climb,,Didn't score much and did strong defense instead.
,Garys,80,Blue 3,7712,,,0,0,TRUE,Left Spike,,TRUE,1,2,1,Ground,,0,,,
,Jalen,80,Blue 2,6574,,,0,3,FALSE,"Center Spike , Left Spike",,FALSE,2,2,0,,,0,Solo Climb,,Robot drove very slow
,Owen Reynolds (filling in for Freya),80,Blue 1,3374,,,0,0,FALSE,,,TRUE,0,1,0,,,0,,Parts Fell Off/Robot Broke,"Robot only shot its preloaded note at the beginning of teleop, played ok defense the rest of the match, failed climb"
,Noah Carrillo,80,Red 3,33,,,0,1,TRUE,Center Line 4,,TRUE,3,5,3,Ground,,0,2 Robot Climb,,Fast and aggressive. Nothing particularly wrong or bad. Good shooter and amp action.
,Jalen,81,Blue 2,4230,,,0,2,FALSE,Center Line 1,,TRUE,3,6,0,Source,,0,3 Robot Climb,,
,Noah Carrillo,81,Red 3,9694,,,0,0,FALSE,,,TRUE,4,0,0,Ground,,0,,,"Slow movement, slow intake, slow shooting. Not very good."
,Garys,81,Blue 3,2834,,,0,1,TRUE,,,TRUE,0,2,6,Ground,,1,Solo Climb,,Saw wrong robot during auto
,Owen Reynolds (filling in for Freya),81,Blue 1,2046,,,0,1,TRUE,,,TRUE,6,5,0,Ground,,1,Solo Climb,,"Their auto failed, but very good teleop performance. Speaker shots missed occasionally though"
,Jalen,82,Blue 2,6652,,,0,0,FALSE,,,FALSE,0,0,0,,,0,,,
,Owen Reynolds (filling in for Freya),82,Blue 1,3310,,,0,2,TRUE,Right Spike,,TRUE,4,8,0,Ground,,1,Solo Climb,,
,Garys,82,Blue 3,302,,,0,3,TRUE,"Right Spike , Center Spike",,TRUE,0,0,10,Ground,,2,Solo Climb,,
,Noah Carrillo,82,Red 3,1325,,,0,2,TRUE,Right Spike,,TRUE,6,2,0,Ground,,0,,Parts Fell Off/Robot Broke,"The part that fell off wasn’t vital it seemed. Otherwise, did ok. Not the fastest but good amp scorer. Bulky, can take a hit."
,Jalen,83,Blue 2,7525,,,0,1,FALSE,,,TRUE,2,4,0,Source,,0,Solo Climb,,
,Garys,83,Blue 3,687,,,0,3,TRUE,"Right Spike , Center Spike , Left Spike",,TRUE,0,3,10,Ground,,0,,,
,Owen Reynolds,83,Blue 1,4270,,,0,0,TRUE,Center Line 5,,TRUE,6,4,0,Ground,,0,,,"Worked extremely well with our team in teleop, auto and climb were sketch but very good amp strategy"
,Noah Carrillo,83,Red 3,1218,,,0,1,TRUE,Left Spike,,TRUE,1,3,1,Ground,,0,Solo Climb,,Performed good. A bit slower than the others had trouble scoring in the trap.
,Owen Reynolds (filling in for Freya),84,Blue 1,8613,,,0,2,TRUE,"Center Line 4 , Center Line 5",,TRUE,1,2,17,Ground,,0,,,Ridiculously dedicated to shuffling notes
,Noah Carrillo,84,Red 3,9576,,,0,2,TRUE,"Right Spike , Center Spike",,TRUE,0,9,0,Ground,,0,,,Great speaker shots. Mechanically unable to score in amp. Did well.
,Garys,84,Blue 3,195,,,0,0,TRUE,"Center Line 1 , Center Line 2",,FALSE,0,2,5,Ground,,0,,,There was a collision where something broke off but I couldn't tell which bot it came from. Froze in last 20 seconds but came back on.
,Garys,85,Blue 3,108,,,0,0,TRUE,,,TRUE,3,3,1,Ground,,0,,,
,Noah Carrillo,85,Red 3,509,,,0,1,TRUE,Center Line 5,,TRUE,4,5,0,Ground,,0,Solo Climb,,I didn’t have a visual for the first couple weeks of seconds so the auto might be a little off. Otherwise it all should be accurate and say that this was a good bot.
,Garys,86,Blue 3,180,,,0,4,TRUE,"Center Line 1 , Center Line 2 , Center Line 3",,TRUE,5,7,0,Ground,,0,Solo Climb,,
,Noah Carrillo,86,Red 3,8592,,,0,3,TRUE,"Right Spike , Center Spike",,TRUE,2,8,0,Ground,,0,Solo Climb,,On the slow side but makes up for it with great accuracy.
,Jalen,86,Blue 2,5895,,,0,5,TRUE,Center Line 5,,TRUE,0,1,0,Source,,0,3 Robot Climb,,It was a good support robot
,Garys,87,Blue 3,2370,,,0,1,FALSE,Center Line 2,,FALSE,4,2,3,Ground,,0,,,
,Jalen,87,Blue 2,5809,,,0,3,FALSE,Center Spike,,TRUE,2,3,0,Source,,0,2 Robot Climb,,
,Noah Carrillo,87,Red 3,6328,,,0,3,FALSE,"Center Spike , Center Line 3 , Center Line 4",,TRUE,1,6,8,Ground,,0,Solo Climb,,Smart driver. Shuttled several notes then as time ran down just shot them rapidly. The bot has a POWERFUL shooter.
,Jalen,88,Blue 2,3128,,,0,2,TRUE,Center Line 4,,TRUE,1,3,4,Source,,0,Solo Climb,,
,Garys,88,Blue 3,1403,,,0,3,TRUE,"Center Spike , Left Spike",,TRUE,2,0,0,Ground,,0,,,
,Noah Carrillo,88,Red 3,498,,,0,1,TRUE,Center Line 1,,FALSE,6,3,0,Ground,,0,,,This thing was fast. Went from the amp to the source in a second. Good shooter as well.
,Jalen,89,Blue 2,5993,,,0,0,FALSE,,,FALSE,0,0,0,,,0,,,Disappointment incarnate
,Garys,89,Blue 3,3374,,,0,0,TRUE,,,TRUE,0,1,0,Ground,,0,,,Mostly defense
,Noah Carrillo,89,Red 3,5232,,,0,0,TRUE,,,TRUE,0,1,9,Ground,,0,Solo Climb,,Did not lot to make points for itself. I don’t think it did poorly per se.
,Garys,90,Blue 3,3357,,,0,1,TRUE,Center Line 4,,TRUE,4,4,0,Ground,,0,Solo Climb,,
,Jalen,90,Blue 2,818,,,0,0,FALSE,,,FALSE,0,0,5,Source,,0,2 Robot Climb,,
,Noah Carrillo,90,Red 3,7712,,,0,2,TRUE,Center Spike,,TRUE,2,3,0,Ground,,0,Solo Climb,,Good shooter.
,Lucas,91,Blue 1,1671,,,0,0,TRUE,,,FALSE,4,4,0,"Ground , Source",,0,Solo Climb,,
,Fanta,91,Red 2,1325,,,0,4,TRUE,"Right Spike , Center Spike , Left Spike",,TRUE,2,6,7,Ground,,0,,,"Extremely fast, accurately shot in speaker for the most part."
,Leif,91,Blue 3,8159,,,0,1,FALSE,,,TRUE,0,3,9,Ground,,0,Solo Climb,,"The robot is able to move across the stage quickly. Additionally, the robot is able to shoot notes very consistently, although it has a terrible auto. The robot was able to switch between shooting the speaker and shuttle notes quickly as well. The robot does not take much time to shoot at the speaker, allowing for more cycles."
,Jazlyn,75,Red 2,195,,,0,2,TRUE,Center Line 2,,TRUE,6,8,1,Ground,,0,Solo Climb,,"missed 2/3 notes in auto but really good play during teleop, shoot sub speaker and amp equally"
,Lucas,92,Blue 1,3310,,,0,3,TRUE,Center Line 1,,FALSE,6,5,0,Ground,,0,,,
,Fanta,92,Red 2,88,,,0,2,TRUE,Center Spike,,TRUE,1,4,8,Ground,,1,Solo Climb,,"Fast, accurate shooting in both speaker and amp, shuttled notes a lot of game"
,Leif,92,Blue 3,1218,,,0,1,TRUE,,,TRUE,0,0,10,Ground,,0,Solo Climb,,"The robot’s shooter is very strong; it was able to shoot far distances. The robot did take some time to adjust to shooting, as it took several seconds in the beginning. It took some to readjust the positioning when hit by another robot. The robot’s auto was very poor, as it missed several notes."
,Lucas,93,Blue 1,33,,,0,2,TRUE,Center Line 1,,TRUE,2,6,2,Ground,,0,2 Robot Climb,,
,Leif,93,Blue 3,2079,,,0,1,TRUE,,,TRUE,0,3,7,Ground,,0,Solo Climb,,"The robot took some time to adjust the aim and power of the shooter, as the first few notes were inaccurate and required readjusting. The auto was pretty bad, as it shot, then drove forward."
,Jazlyn,93,Red 3,8613,,,0,0,FALSE,,,TRUE,0,5,4,Ground,,0,,Made Other Auto Fail,"doesn’t climb, has a thing where it looks for a note if it isn’t there but doesn’t work the best, ended up bumping into the wall"
,Fanta,93,Red 2,302,,,0,3,TRUE,"Center Spike , Left Spike",,TRUE,5,5,0,Ground,,1,Solo Climb,,"Good at shooting in both amp and speaker,"
,Lucas,94,Blue 1,1781,,,0,1,TRUE,,,TRUE,4,6,2,"Ground , Source",,0,Solo Climb,,
,Coby,94,Blue 2,9726,,,0,0,TRUE,,,TRUE,0,0,0,Ground,,0,,,Really slow and fragile
,Logan,94,Red 1,3175,,,0,2,TRUE,Center Line 2,,TRUE,3,3,0,"Ground , Source",,0,,,
,Leif,94,Blue 3,108,,,0,3,TRUE,,,TRUE,2,2,6,Ground,,0,Solo Climb,,"The robot was having some trouble escaping some of the other robots. The robot’s power in the shooter is okay, but not good."
,Fanta,94,Red 2,180,,,0,5,TRUE,"Right Spike , Center Spike , Left Spike , Center Line 4 , Center Line 5",,TRUE,4,2,0,Ground,,1,Solo Climb,,"Good auto, fast, good at shooting speaker and amp"
,Jazlyn,94,Red 3,9694,,,0,1,FALSE,,,TRUE,0,0,0,Ground,,0,,Parts Fell Off/Robot Broke,couldn’t shoot and didn’t do anything the entire round
,Lucas,95,Blue 1,5705,,,0,3,FALSE,,,TRUE,0,0,0,"Ground , Source",,0,,,Sorry i was watching our robot
,Coby,95,Blue 2,8298,,,0,1,FALSE,,,TRUE,0,0,0,,,0,,Tipped/Tippy,"Very slow, possibly broke?"
,Leif,95,Blue 3,3494,,,0,1,TRUE,"Center Line 3 , Center Line 4 , Center Line 5",,TRUE,7,0,0,Ground,,1,Solo Climb,,"The robot appears to only be able to score amp. The amp scoring speed is relatively slow, which did prevent it from doing a few more cycles."
,jazlyn,95,Red 3,195,,,0,2,FALSE,Center Line 2,,TRUE,4,2,1,Ground,,0,Solo Climb,Disabled,disabled for a little bit but tbf every robot did this match
,Davin,95,Red 3,195,,,,2,TRUE,Center Line 1,,FALSE,2,3,3,Ground,,0,Solo Climb,Disabled,Accurate shooter for AMP and SPEAKER
,Fanta,95,Red 2,9584,,,0,0,TRUE,,,FALSE,0,1,2,Source,,0,,Tipped/Tippy,"Slow:(  didn’t have good auto, tippy,"
,Logan,95,Red 1,7525,,,0,4,TRUE,"Right Spike , Center Spike , Left Spike",,FALSE,0,0,0,Ground,,0,,Disabled,Make the robot better please
,Coby,96,Blue 2,6328,,,0,2,TRUE,Center Spike,,TRUE,0,2,8,Ground,,1,Solo Climb,,"Fast, didn’t complete auto, shuttled"
,Lucas,96,Blue 1,6647,,,0,1,TRUE,,,FALSE,0,0,0,"Ground , Source",,0,Solo Climb,,Bad speaker aim
,Jazlyn,96,Red 3,6615,,,0,0,TRUE,,,TRUE,0,5,0,Ground,,0,Solo Climb,,doesn’t do much in auto but pretty good at scoring nothing rlly special
,Davin,96,Red 3,6615,,,0,1,TRUE,,,TRUE,0,2,0,Ground,,0,Solo Climb,,Slow shooter. Unreliable info ( people standing in the way )
,Logan,96,Red 1,4786,,,0,2,TRUE,,,FALSE,0,2,3,Ground,,0,2 Robot Climb,,My data isnt accurate because i couldn’t see the field
,Leif,96,Blue 3,1403,,,0,2,TRUE,"Right Spike , Center Spike , Left Spike",,TRUE,3,4,0,Ground,,0,,,"The robot attempted climb, but failed. The robot took some time when intaking, as some of the time was turning and adjusting the angle to intake. The robot also appears best to score amp or speaker, and not shuttle robots based on the robot’s speed and power of the shooter."
,Lucas,97,Blue 1,8576,,,0,1,FALSE,,,FALSE,0,0,13,Source,,0,2 Robot Climb,,Strict shuttle
,Coby,97,Blue 2,5809,,,0,4,FALSE,"Right Spike , Center Spike , Left Spike",,TRUE,0,3,2,Ground,,0,Solo Climb,,"Auto is alright, mainly shuttled notes but not well"
,Aiden,97,Blue 3,456,,,0,0,TRUE,,,TRUE,4,6,0,Ground,,0,2 Robot Climb,,"Failed auto, okay driver, quick speaker shooter"
,jazlyn,97,Red 3,1250,,,0,1,FALSE,,,TRUE,1,3,1,Ground,,0,Solo Climb,,was a little tipple towards the end with their climb and not a very good amp score and did nothing pretty much during auto
,Logan,97,Red 1,9576,,,0,2,TRUE,,,TRUE,4,1,1,Ground,,0,,,
,Davin,97,Red 3,1250,,,0,0,FALSE,,,FALSE,0,1,2,Ground,,0,Solo Climb,,Didn’t block or shoot much at all. Opened very little for their team
,Leif,97,Blue 3,456,,,0,1,FALSE,,,TRUE,4,6,0,Ground,,0,2 Robot Climb,,"The robot’s auto failed, as it missed all of the notes that it attempted to pick up. The robot has some difficulties with grabbing notes then shooting them. They do spend a generous amount of time on the amp, which almost always means that they will miss a cycle or two."
,jazlyn,98,Red 3,9455,,,0,0,FALSE,,,FALSE,0,0,0,,,0,,Disabled,disabled and i’m pretty sure it missed its shot in auto
,Lucas,98,Blue 1,3546,,,0,1,FALSE,,,TRUE,3,2,2,"Ground , Source",,1,Solo Climb,,
,Davin,98,Red 3,9455,,,0,1,FALSE,,,FALSE,0,0,0,,,0,,Disabled,Stood in one place after autonomous 👁️👁️
,Logan,98,Red 1,2370,,,0,2,TRUE,"Right Spike , Center Spike , Left Spike",,TRUE,7,6,0,Ground,,0,Solo Climb,,
,Coby,98,Blue 2,192,,,0,0,TRUE,,,TRUE,1,0,0,Ground,,0,Solo Climb,"Parts Fell Off/Robot Broke , Made Other Auto Fail , Note Stuck In Robot","Obnoxiously slow, broke firing mechanism, made other robots fail"
,Leif,98,Blue 3,2080,,,0,1,TRUE,,,TRUE,0,3,0,Ground,,0,,,"The robot was extremely slow for the entire match. The robot additionally lost several cycles due to speed, along with taking time to adjust the turning."
,Lucas,99,Blue 1,9421,,,0,0,FALSE,,,TRUE,0,0,0,,,0,Solo Climb,Note Stuck In Robot,I missed auto but I don’t think they did anything anyway. Defended all game
,jazlyn,99,Red 3,3134,,,0,1,TRUE,,,TRUE,0,3,4,Ground,,0,,,not sure why it was modtly shuttling notes if there was another robot doing it nothing special abt this one
,Coby,99,Blue 2,6652,,,0,1,FALSE,,,TRUE,0,1,0,Ground,,0,,"Tipped/Tippy , Parts Fell Off/Robot Broke","This is so bad, dropped notes constantly, every part of it broke"
,Logan,99,Red 1,8214,,,0,2,TRUE,"Center Line 1 , Center Line 2",,TRUE,0,1,5,Ground,,0,,,Almost disabled mid match
,Davin,99,Red 3,3134,,,0,1,TRUE,,,TRUE,0,3,2,Ground,,0,,,Fast and accurate shooter for SPEAKER. Can and did stay in corner to collect notes and shuttle
,Leif,99,Blue 3,3641,,,0,3,TRUE,"Right Spike , Center Spike , Left Spike , Center Line 4",,TRUE,1,4,5,Ground,,0,,,"The robot is extremely with shooting, with the exception of not being able to shoot a few of the notes (accuracy problem) in the speaker. The robot is shooting at very high speeds, making their cycles very fast if they did not have to be a shuttle robot this match."
,Lucas,100,Blue 1,509,,,0,1,TRUE,,,TRUE,0,1,2,"Ground , Source",,0,Solo Climb,,
,Coby,100,Blue 2,687,,,0,3,TRUE,"Right Spike , Center Spike , Center Line 3",,TRUE,0,3,9,Ground,,0,,,Really good shuttle cycle
,Logan,100,Red 1,5895,,,0,1,TRUE,,,TRUE,1,5,2,Ground,,0,Solo Climb,,
,Davin,100,Red 3,9072,,,0,2,TRUE,"Center Line 3 , Center Line 4",,TRUE,0,0,0,Ground,,0,,,Blockecd TBA SPEAKER
,Leif,100,Blue 3,5940,,,0,3,TRUE,"Center Line 1 , Center Line 2",,TRUE,6,13,0,Ground,,1,Solo Climb,,"They constantly shoot effectively, as they only missed one or two shots throughout the match. They have an auto that is generally good, but may miss a note. They were able to quickly move throughout their field, and are not overcome with opposition from the other team. (Not pinned easily)"
,Lucas,101,Blue 1,3310,,,0,3,TRUE,,,TRUE,4,6,0,Ground,,0,,,
,Coby,101,Blue 2,2096,,,0,1,FALSE,,,FALSE,0,0,11,Ground,,0,,,"Tried to shuttle, not very well."
,Logan,101,Red 1,2834,,,0,0,FALSE,,,TRUE,0,0,13,Ground,,0,Solo Climb,,
,Leif,101,Blue 3,68,,,0,2,TRUE,"Right Spike , Center Spike",,TRUE,0,0,10,Ground,,0,,Disabled,"The robot took a hit in the last 30 seconds of the match, which prevented the robot from moving. The robot was able to shoot notes quick enough to be a good shuttle robot, but was not very fast."
,Jazlyn,101,Red 3,33,,,0,4,FALSE,,,TRUE,0,7,0,Ground,,0,,,i did not see if it climbed nor barely saw that auto but good team rlly good at scoring speaker
,Jazlyn,102,Red 3,8891,,,0,4,TRUE,"Right Spike , Center Spike , Left Spike",,TRUE,0,1,3,Ground,,0,,,
,Lucas,102,Blue 1,8159,,,0,1,FALSE,,,FALSE,0,1,6,Source,,0,,,
,Logan,102,Red 1,5232,,,0,0,TRUE,"Center Line 1 , Center Line 2",,TRUE,0,0,13,Ground,,0,Solo Climb,,
,Coby,102,Blue 2,180,,,0,3,TRUE,"Left Spike , Center Line 1",,TRUE,5,4,1,Ground,,0,,Parts Fell Off/Robot Broke,Something went wrong with their wheels
,Leif,102,Blue 3,1325,,,0,2,TRUE,"Center Spike , Center Line 2",,TRUE,2,5,9,Ground,,0,,,"The robot missed several shots throughout the match, missing the playing field (shot over the boundary because of angle/power for shuttles notes) and the speaker. The robot tended to work best when scoring amp, as it wasn’t fast, but more efficient than other strategies."
,Coby,103,Blue 2,7525,,,0,2,TRUE,Left Spike,,FALSE,0,0,0,,,0,,,
,Coby (fixed),103,Blue 2,7525,,,0,2,TRUE,,,TRUE,0,1,0,Ground,,0,,Note Stuck In Robot,This is sad
,Logan,103,Red 1,818,,,0,1,TRUE,Center Line 1,,TRUE,0,2,4,Ground,,0,Solo Climb,,
,Leif,103,Blue 3,3627,,,0,1,TRUE,,,FALSE,0,6,0,Ground,,0,Solo Climb,,"The robot was taking a long time when intaking, and the shooting power was very low."
,Logan,104,Red 1,9726,,,0,0,FALSE,,,TRUE,0,0,0,Source,,0,,,Shaq bot
,Coby,104,Blue 2,6647,,,0,1,FALSE,Left Spike,,TRUE,0,0,3,Ground,,0,,Tipped/Tippy,Tries to shuttle badly
,Leif,104,Blue 3,4786,,,0,1,TRUE,Center Line 2,,TRUE,0,0,14,Ground,,0,Solo Climb,,The robot was able to shoot far and allow for an easy shuttle robot.
,Fanta,104,Red 2,2046,,,0,3,TRUE,"Right Spike , Center Spike , Left Spike",,TRUE,0,5,6,Ground,,1,Solo Climb,,"Good at shooting in auto, speaker, and fast"
,Logan,105,Red 1,8188,,,0,2,TRUE,"Right Spike , Center Spike",,TRUE,6,5,0,Ground,,0,Solo Climb,,
,Coby,105,Blue 2,498,,,0,2,TRUE,"Center Spike , Left Spike",,TRUE,3,7,0,Ground,,0,,,Fast amp cycle
,Leif,105,Blue 3,1218,,,0,1,TRUE,"Left Spike , Center Line 3",,TRUE,2,7,0,Ground,,0,Solo Climb,,The robot was able to score quickly with another robot using a shuttle note strategy.
,Fanta,105,Red 2,195,,,0,0,TRUE,"Center Line 1 , Center Line 3",,TRUE,2,3,3,Ground,,0,,,"Stopped for a lil while, ok at shooting in speaker, failed auto."
,Aiden,106,Blue 3,3374,,,0,0,TRUE,,,TRUE,0,0,0,,,0,Solo Climb,,"Defense bot, intake must be broken or something"
,Taj,106,Red 3,4909,,,0,3,TRUE,,,TRUE,2,5,0,Ground,,0,,,Pretty fast and consistent at amp and speaker
,Dillon,106,Blue 2,6615,,,0,1,FALSE,,,TRUE,0,6,0,"Ground , Source",,0,,,It scored speaker well but struggled to pick up notes.
,Taj,107,Red 3,3006,,,0,4,TRUE,,,TRUE,1,7,1,Ground,,0,Solo Climb,,Good driving and speaker scoring
,Aiden,107,Blue 3,4414,,,0,0,FALSE,,,TRUE,0,2,13,Ground,,0,Solo Climb,,"Really fast, speaker shooter automatic angle was not very accurate at some places"
,Dillon,107,Blue 2,9429,,,0,1,FALSE,,,FALSE,0,0,0,Source,,0,,,"Kit bot. Really funny. Real data, trust."
,Aiden,108,Blue 3,9421,,,0,0,FALSE,,,TRUE,0,0,0,,,0,,,"Defense bot, no intake I think. Looks like they tried to climb but their climbers wouldn’t go down enough to lift them off the ground"
,Dillon,108,Blue 2,3494,,,0,0,FALSE,,,TRUE,0,0,0,,,0,,,Worst ever.
,Taj,108,Red 3,5895,,,0,2,TRUE,,,TRUE,8,3,0,Ground,,0,2 Robot Climb,,Pretty good at amp
,Aiden,109,Blue 3,192,,,0,0,TRUE,Center Line 1,,TRUE,6,0,0,Ground,,1,Solo Climb,,"Pretty good, their cycles are pretty fast. In their auto their speaker shooter didn’t have enough power"
,Aiden,110,Blue 3,1403,,,0,2,TRUE,"Right Spike , Center Spike , Left Spike",,TRUE,5,4,0,Ground,,0,,,Attempted to climb at the end
,Aiden,111,Blue 3,9584,,,0,0,FALSE,,,FALSE,0,0,0,,,0,,,"Defense bot, had a huge piece of cardboard on their robot 😆"
,Aiden,112,Blue 3,3175,,,0,0,FALSE,,,TRUE,2,5,0,Ground,,0,Solo Climb,,"Missed what they did in auto. Very fast, but missed a couple speaker shots"
,Aiden,113,Blue 3,818,,,0,2,TRUE,"Center Spike , Left Spike , Center Line 2 , Center Line 3",,TRUE,4,6,0,Ground,,0,Solo Climb,,"Very fast cycles, had a lot of notes shuttled to the though"
,Aiden,114,Blue 3,4909,,,0,1,TRUE,Center Spike,,TRUE,0,6,0,Ground,,1,Solo Climb,,"Amp scoring mechanism is kind of bad, the note got slightly stuck"
,Aiden,115,Blue 3,68,,,0,3,TRUE,"Right Spike , Center Spike",,TRUE,5,2,0,Ground,,0,Solo Climb,Note Stuck In Robot,"Missed a couple of their auto notes. Pretty fast, but fumbled a lot at the amp"
,Noah Carrillo,121,Red 3,5809,,,0,2,TRUE,"Center Line 1 , Center Line 2",,TRUE,2,4,0,Ground,,0,Solo Climb,,Good shots. Paused a few times on the field.
,Noah Carrillo,122,Red 3,5715,,,0,1,TRUE,,,FALSE,6,3,0,Ground,,0,Solo Climb,,Good shooting. Had control of the amp. Overall: ✅
,Noah Carrillo,123,Red 3,4270,,,0,1,FALSE,Center Line 5,,TRUE,5,8,0,Ground,,1,Solo Climb,,Was in charge of the whole game. One of the bests so far.
,Noah Carrillo,124,Red 3,1781,,,0,1,TRUE,,,TRUE,2,0,5,Ground,,0,Solo Climb,,Good. Nothing spectacular. Had some minor trouble with the amp at times.
,Noah Carrillo,125,Red 3,3546,,,0,1,TRUE,Left Spike,,TRUE,3,7,0,Ground,,0,Solo Climb,,Not the best with amp but still ok. Missed a couple of shots.
